order_month,total_orders,late_rate,late_rate_pct
2016-09,4,0.25,25.0
2016-10,324,0.006172839506172839,0.6172839506172839
2016-12,1,0.0,0.0
2017-01,800,0.0275,2.75
2017-02,1780,0.02752808988764045,2.752808988764045
2017-03,2682,0.04325130499627144,4.325130499627144
2017-04,2404,0.06281198003327787,6.281198003327787
2017-05,3700,0.028648648648648647,2.864864864864865
2017-06,3245,0.029275808936825885,2.9275808936825887
2017-07,4026,0.026825633383010434,2.682563338301043
2017-08,4331,0.028169014084507043,2.8169014084507045
2017-09,4285,0.04247374562427071,4.247374562427071
2017-10,4631,0.040380047505938245,4.038004750593824
2017-11,7544,0.11983032873807,11.983032873807
2017-12,5673,0.07244843997884717,7.2448439978847174
2018-01,7269,0.05544091346815243,5.544091346815243
2018-02,6728,0.13778240190249702,13.778240190249702
2018-03,7211,0.18416308417695187,18.416308417695188
2018-04,6939,0.04409857328145266,4.409857328145266
2018-05,6873,0.06445511421504438,6.445511421504438
2018-06,6167,0.011512891195070537,1.1512891195070536
2018-07,6292,0.03305785123966942,3.3057851239669422
2018-08,6512,0.06035012285012285,6.035012285012285
2018-09,16,0.0,0.0
2018-10,4,0.0,0.0
